"requirement_id","phase","requirement","authoritative_evidence","current_status","gap","blocking","required_action"
"P0-BASE","0","Record branch and origin/main SHA","git read-only inspection","PASS","branch feature/domain-projection-worker-v0.1 and both SHAs 44fb583","no","retain in ExecPlan and baseline"
"P0-PR","0","Create and maintain Draft PR","GitHub PR 1","PASS","draft/open against main at Phase 0 publication","no","keep draft and update after each phase"
"P0-WORKSURFACE","0","Create required ExecPlan and Phase 0 reports","commit be086281cef5c2c65c7d22acbbc8bfdb086d09f9","PASS","six required artifacts plus full live snapshot committed and pushed","no","retain as Phase 0 evidence"
"P0-NPMCI","0","Run npm ci baseline","tracked lockfiles","NOT_APPLICABLE","repository has pnpm-lock.yaml and no npm lockfile","no","retain package-manager evidence"
"P0-CONTRACT","0","Check Runtime Evidence contract","npm run check:sdar-evidence-contract","PASS","121 imported files; 100 records; 95 required and 5 diagnostic; a99/eac unchanged","no","retain command output"
"P0-VERIFY","0","Run unmodified baseline verify","root-task baseline rerun","PASS","70 of 70 tests passed with typecheck build and static gate","no","retain command and exit evidence"
"P0-CH-CMDS","0","Run ClickHouse preflight verify smoke","package scripts","PASS","24.10.2.1; database_count 6; smoke 1","no","do not treat these generic reads as Domain E2E"
"P0-REGISTRY","0","Inventory existing Projection Registry","packages/telemetry-projection-registry/src/index.ts","PARTIAL_REUSE","CanonicalFact registry exists but no Domain decisions skip reasons checkpoint or schema drift","no","extend same package with DomainProjectionRegistry"
"P0-RECON","0","Inventory reconciliation","packages/telemetry-reconciliation/src/index.ts","INADEQUATE","only two ID-array counts; no lag target-lineage DLQ repair or replay","no","implement Domain reconciler in existing package"
"P0-QUERY","0","Inventory Query API","apps/query-api/src/server.ts","PARTIAL_REUSE","secure fixed Evidence routes exist; 0 of 3 Domain routes","no","extend injectable server with allowlisted Domain queries"
"P0-ADMIN","0","Inventory Admin API","apps/admin-api/src/main.ts","INADEQUATE","in-memory x-role placeholder; 0 of 9 Domain routes","no","refactor to validated injectable persistent service"
"P0-COMPOSE","0","Inventory Compose","deploy/compose.external-clickhouse.yaml","PARTIAL_REUSE","external CH and secret isolation pass; Domain service and credentials absent","no","add Domain service without WAL mount"
"P0-CONFIG","0","Inventory configuration","packages/telemetry-config/src/index.ts","MISSING_DOMAIN_CONFIG","0 of 7 required Domain settings","no","add validated frozen Domain configuration"
"P0-METRICS","0","Inventory metrics","repository search","MISSING","0 of 11 required metrics","no","implement bounded-label worker metrics"
"P0-READY","0","Inventory Domain health and readiness","repository search","MISSING","no Domain process or readiness checks","no","add process-only health and full contract readiness"
"P0-MIGRATIONS","0","Inventory migrations","migrations and vendor bundle","PARTIAL_REFERENCE","repository owns only migration 014; vendor bundle is schema 1.0.0 not accepted 1.5 authority","yes","resolve schema authority before additive migration design"
"SCHEMA-RC1","0","Verify Schema 1.5 RC1 authority package","schema-agent read-only audit","FAIL","RC1 package integrity failed","yes","obtain complete accepted package and record hashes"
"SCHEMA-LIVE","0","Capture current live schema and warehouse version","domain-projection-v0-1-phase0 snapshot plus warehouse release query","PASS_WITH_INCOMPATIBILITY","430 objects and 14885 columns captured readonly; DDL has 1.5 footprint but release marker says 1.4.1-rc.1 00..17","yes","obtain explicit release-marker compatibility decision"
"SCHEMA-SOURCES","0","Verify ten exact application source tables","current live snapshot and RC1 migrations","FAIL","0 of 10 exact table names present in both authorities","yes","obtain D1 exact source compatibility decision"
"SCHEMA-TARGETS","0","Verify six embodied target tables","current live snapshot","PASS","6 of 6 present with required projection envelope","no","retain structural fingerprints; mapping semantics still blocked"
"SCHEMA-META","0","Verify six projection governance tables","current live snapshot","PASS_WITH_LOGICAL_GAPS","6 of 6 present; logical contract fields still require mapping decision","yes","freeze field mapping or approve additive migration"
"DECISION-D1","0","Bind exact logical sources to physical contracts","task package mapping contract plus snapshot","PENDING_USER_DECISION","near-name tables cannot be substituted implicitly","yes","approve per-projection physical table and field contract"
"DECISION-D2","0","Choose projection identity model","task package vs vendor seed","PENDING_USER_DECISION","ten required projections conflict with one coarse application_to_embodied seed","yes","approve ten IDs or explicit coarse-ID compatibility exception"
