"projection_id","required_source","physical_candidates","candidate_assessment","identity_contract","revision_contract","cursor_contract","content_hash_contract","semantic_gap","mapping_status","decision_status"
"DP-C01","sdar_commander.mcp_action","sdar_commander.action_record|sdar_commander.mcp_call_detail","SEMANTICALLY_INSUFFICIENT","tenant_id+project_id+record_id","immutable revision=1 only if approved","occurred_at+sequence+record_id with bounded lookback","payload_sha256","resource_channel and device identity predicate missing","MAPPING_CONTRACT_BLOCKED","D1_PENDING"
"DP-C02","sdar_commander.mcp_receipt","sdar_commander.receipt_record","SAFE_CANDIDATE_FOR_REVIEW","tenant_id+project_id+record_id","immutable revision=1 pending approval","occurred_at+sequence+record_id with bounded lookback","payload_sha256","status enums and immutability must be frozen","MAPPING_CONTRACT_BLOCKED","D1_PENDING"
"DP-C03","sdar_commander.capability_track_sample","sdar_commander.capability_track_detail|sdar_commander.verification_record","SEMANTICALLY_INSUFFICIENT","tenant_id+project_id+record_id","immutable revision=1 only if approved","occurred_at+sequence+record_id with bounded lookback","payload_sha256","stable relation and physical device/channel/timestamp/result semantics missing","MAPPING_CONTRACT_BLOCKED","D1_PENDING"
"DP-C04","sdar_commander.error_recovery","sdar_commander.failure_record|sdar_commander.recovery_record","SEMANTICALLY_INSUFFICIENT","tenant_id+project_id+record_id","immutable revision=1 only if approved","occurred_at+sequence+record_id with bounded lookback","payload_sha256","preemption identity phase device trigger deadline stop and basis relations missing","MAPPING_CONTRACT_BLOCKED","D1_PENDING"
"DP-C05","sdar_commander.ugv_state_snapshot","sdar_commander.state_snapshot","SAFE_CANDIDATE_FOR_REVIEW","tenant_id+project_id+record_id","state_version","state_version+state_id per episode plus approved global polling cursor","payload_sha256","check granularity threshold policy and result enum mapping missing","MAPPING_CONTRACT_BLOCKED","D1_PENDING"
"DP-N01","sdar_npc.mission_tool_call","sdar_npc.mission_tool_call_detail|sdar_npc.action_record","SEMANTICALLY_INSUFFICIENT","tenant_id+project_id+record_id","mission_version or immutable detail contract pending approval","mission_id+mission_version+tool_call_index+record_id with bounded lookback","payload_sha256","resource_channel and device relation missing","MAPPING_CONTRACT_BLOCKED","D1_PENDING"
"DP-N02","sdar_npc.mcp_receipt","sdar_npc.receipt_record","SAFE_CANDIDATE_FOR_REVIEW","tenant_id+project_id+record_id","immutable revision=1 pending approval","occurred_at+sequence+record_id with bounded lookback","payload_sha256","status enums and immutability must be frozen","MAPPING_CONTRACT_BLOCKED","D1_PENDING"
"DP-N03","sdar_npc.hmi_approval","sdar_npc.hmi_approval_detail|sdar_npc.mission_tool_call_detail","SAFE_CANDIDATE_FOR_REVIEW","tenant_id+project_id+record_id","immutable revision=1 pending approval","occurred_at+sequence+record_id with bounded lookback","payload_sha256","exactly-one bounded approval_id to action_id_ref relation required","MAPPING_CONTRACT_BLOCKED","D1_PENDING"
"DP-N04","sdar_npc.preemption_record","sdar_npc.preemption_detail|sdar_npc.action_record","SEMANTICALLY_INSUFFICIENT","tenant_id+project_id+record_id","immutable revision=1 only if approved","occurred_at+sequence+record_id with bounded lookback","payload_sha256","phase device basis and trigger-event relations missing","MAPPING_CONTRACT_BLOCKED","D1_PENDING"
"DP-N05","sdar_npc.blackboard_snapshot","sdar_npc.blackboard_snapshot_detail","SEMANTICALLY_INSUFFICIENT","tenant_id+project_id+record_id","blackboard_version","blackboard_version+snapshot_id per episode plus approved global polling cursor","payload_sha256","observed_at and stable state-snapshot relation missing","MAPPING_CONTRACT_BLOCKED","D1_PENDING"
