"projection_id","source_database","required_source_table","exact_source_present_live","observed_near_names_not_selected","target_database","target_table","target_present_live","status","blocking_reason","required_decision"
"DP-C01","sdar_commander","mcp_action","no","action_record|mcp_call_detail","sdar_embodied","control_action","yes","MAPPING_CONTRACT_BLOCKED","exact source contract absent; near-name observations are not aliases","D1_PENDING"
"DP-C02","sdar_commander","mcp_receipt","no","receipt_record","sdar_embodied","control_receipt","yes","MAPPING_CONTRACT_BLOCKED","exact source contract absent; field and lineage mapping not authorized","D1_PENDING"
"DP-C03","sdar_commander","capability_track_sample","no","capability_track_detail","sdar_embodied","physical_verification","yes","MAPPING_CONTRACT_BLOCKED","exact source contract absent; physical truth fields cannot be inferred","D1_PENDING"
"DP-C04","sdar_commander","error_recovery","no","recovery_record","sdar_embodied","preemption_recovery","yes","MAPPING_CONTRACT_BLOCKED","exact source contract absent; preemption semantics not established","D1_PENDING"
"DP-C05","sdar_commander","ugv_state_snapshot","no","state_snapshot","sdar_embodied","state_freshness_check","yes","MAPPING_CONTRACT_BLOCKED","exact source contract absent; observed-time field requires explicit contract","D1_PENDING"
"DP-N01","sdar_npc","mission_tool_call","no","mission_tool_call_detail|action_record","sdar_embodied","control_action","yes","MAPPING_CONTRACT_BLOCKED","exact source contract absent; any bounded context relation requires approval","D1_PENDING"
"DP-N02","sdar_npc","mcp_receipt","no","receipt_record","sdar_embodied","control_receipt","yes","MAPPING_CONTRACT_BLOCKED","exact source contract absent; field and lineage mapping not authorized","D1_PENDING"
"DP-N03","sdar_npc","hmi_approval","no","hmi_approval_detail","sdar_embodied","human_confirmation","yes","MAPPING_CONTRACT_BLOCKED","exact source contract absent; near-name observation is not an alias","D1_PENDING"
"DP-N04","sdar_npc","preemption_record","no","preemption_detail","sdar_embodied","preemption_recovery","yes","MAPPING_CONTRACT_BLOCKED","exact source contract absent; context fields require authoritative relation","D1_PENDING"
"DP-N05","sdar_npc","blackboard_snapshot","no","blackboard_snapshot_detail","sdar_embodied","state_freshness_check","yes","MAPPING_CONTRACT_BLOCKED","exact source contract absent; no authorized observed-time source","D1_PENDING"
